FIPS,State,County,"Population Estimate, 2016",PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,GROCPTH14,SUPERCPTH14,CONVSPTH14,SNAPSPTH16,FFRPTH14,FSRPTH14,PC_FFRSALES12,PC_FSRSALES12,FOODINSEC_13_15,VLFOODSEC_13_15,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,FMRKTPTH16,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,RECFACPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
01001,AL,Autauga,"55,416",32.06225475,11.991125,3.351331631,0.072208683,0.0180522,0.541565123,0.760911409,0.649878148,0.523512952,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.01804533,13,34.1,0.090260854,77.24615638,17.58259882,2.400542413,0.855765883,11.99538216,26.77795899,56580,12.7,0,18.8,0,1,0
01003,AL,Baldwin,"208,563",16.76748933,5.424426597,1.905114466,0.14491957,0.0299834,0.589672732,0.949752992,0.659633903,1.104387065,674.8027204,512.2809873,17.6,7.3,1.01769,1.001391,0.9401653,0.019178857,10.4,27.4,0.124930663,83.50478699,9.308424547,4.384824294,0.735193263,16.77118481,22.98740844,52387,12.9,0,19.6,0,1,0
01005,AL,Barbour,"25,965",22.10556007,10.73966657,4.329378079,0.185963477,0.0371927,0.706661212,1.354387316,0.818239298,0.55789043,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.154053534,18.4,44.4,0,46.75310485,46.69118986,5.051535128,0.389700259,14.23680664,21.90698183,31433,32,1,45.2,1,0,0
01007,AL,Bibb,"22,643",4.230324421,2.601627008,2.821427444,0.222162979,0.0444326,0.666488936,0.864873618,0.222162979,0.222162979,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.044163759,14.8,40.3,0.0444326,75.02072878,21.9245036,1.771765219,0.096006982,12.68164957,22.69692341,40767,22.2,0,29.3,1,1,0
01009,AL,Blount,"57,704",6.497380137,2.880149823,3.336414144,0.103951905,0.0173253,0.467783572,0.815945746,0.363831667,0.259879762,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.017329821,14.1,34.6,0.051976,88.88733819,1.263040368,8.070199923,0.200621053,14.72209623,24.60835281,50487,14.7,0,22.2,0,1,0
01011,AL,Bullock,"10,362",37.95034236,19.74335074,11.10444061,0.185804534,0,0.2787068,1.069613331,0.2787068,0.092902267,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.096506466,19.6,43,0,21.9168041,69.97434488,7.119296317,0.18325087,13.45977643,22.26498076,28251,39.6,1,51.2,1,0,0
01013,AL,Butler,"19,998",6.226804584,2.926121931,3.770678378,0.147812377,0.0492708,1.034686638,1.291795846,0.837603469,0.492707923,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.100010001,17.7,36.3,0.0492708,54.06024729,43.1899556,0.911825082,0.830667876,16.6563231,24.13710794,33868,25.8,1,36,1,0,1
01015,AL,Calhoun,"114,611",23.43385181,9.178566583,2.60989548,0.232927292,0.0258808,0.638393319,1.18298709,0.888574485,0.66427413,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.017450332,14.9,32.2,0.0603886,73.61350066,20.3901427,3.283237189,0.699996627,14.32884661,22.87723915,42091,20,0,30.7,0,1,0
01017,AL,Chambers,"33,843",20.84321414,10.32855828,5.24080289,0.205423172,0.0293462,0.67496185,1.108057796,0.763000352,0.469538678,674.8027204,512.2809873,17.6,7.3,0.8567245,0.9908802,0.799857,0.029548208,16.4,39.7,0,58.14116616,38.59710653,1.566564372,0.485167324,16.6768961,22.51351746,35560,22.4,0,34.4,1,0,1
01019,AL,Cherokee,"25,725",0.398331982,0.2211124,2.822199537,0.192034413,0.0384069,0.691323885,1.256883706,0.576103238,0.422475708,674.8027204,512.2809873,17.6,7.3,0.8567245,0.9908802,0.799857,0.038872692,13.3,33.6,0.0384069,92.07356959,4.640424795,1.231290161,0.188541306,17.89603294,21.41675324,39144,19.4,0,30.2,0,0,0
